PERMNO,date,TICKER,COMNAM,RET,PRC,SHROUT
81774,12/30/2022,FCX,FREEPORT MCMORAN INC,-0.05,38,1429327
81774,1/31/2023,FCX,FREEPORT MCMORAN INC,0.18,44.62,1429327
81774,2/28/2023,FCX,FREEPORT MCMORAN INC,-0.08,40.97,1430694
81774,3/31/2023,FCX,FREEPORT MCMORAN INC,0.00,40.91,1430694
81774,4/28/2023,FCX,FREEPORT MCMORAN INC,-0.07,37.91,1430694
81774,5/31/2023,FCX,FREEPORT MCMORAN INC,-0.09,34.34,1433286
81774,6/30/2023,FCX,FREEPORT MCMORAN INC,0.16,40,1433286
81774,7/31/2023,FCX,FREEPORT MCMORAN INC,0.12,44.65,1433286
81774,8/31/2023,FCX,FREEPORT MCMORAN INC,-0.11,39.91,1433636
81774,9/29/2023,FCX,FREEPORT MCMORAN INC,-0.07,37.29,1433636
81774,10/31/2023,FCX,FREEPORT MCMORAN INC,-0.09,33.78,1433636
81774,11/30/2023,FCX,FREEPORT MCMORAN INC,0.10,37.32,1433977
81774,12/29/2023,FCX,FREEPORT MCMORAN INC,0.14,42.57,1433977
